Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,3.594479,3.706466,3.591506,3.647004,3.579851,22199552
2015-07-02,3.765928,3.765928,3.591506,3.612813,3.546290,27957072
2015-07-03,3.691600,3.691600,3.598938,3.604389,3.538021,38557012
2015-07-06,3.607858,3.637093,3.607362,3.637093,3.570123,8483465
2015-07-07,3.765928,3.765928,3.598443,3.598443,3.532184,30759598
2015-07-08,3.588037,3.627183,3.588037,3.616282,3.549695,40767635
2015-07-09,3.592497,3.617273,3.592497,3.617273,3.550668,34994167
2015-07-10,3.765928,3.765928,3.599434,3.617273,3.550668,27123497
2015-07-13,3.664842,3.664842,3.609344,3.621732,3.555045,36299169
2015-07-14,3.612317,3.625696,3.608849,3.619750,3.553099,53759421
2015-07-15,3.593488,3.623219,3.587542,3.622723,3.556017,40037789
2015-07-16,3.606867,3.649977,3.606371,3.643039,3.575959,29837229
2015-07-17,3.638084,3.641553,3.636102,3.636102,3.569150,1983181
2015-07-20,3.629661,3.631147,3.623219,3.630652,3.563800,21586752
2015-07-21,3.638084,3.644031,3.627183,3.644031,3.576933,24333480
2015-07-22,3.640066,3.641553,3.637093,3.637093,3.570123,20530582
2015-07-23,3.640066,3.644031,3.640066,3.643039,3.575959,18563444
2015-07-24,3.635607,3.643535,3.635607,3.637093,3.570123,7427305
2015-07-27,3.588533,3.653941,3.588533,3.641553,3.574501,4657964
2015-07-28,3.632634,3.632634,3.627678,3.627678,3.560881,18864645
2015-07-29,3.630652,3.631643,3.622228,3.622228,3.555531,9576061
2015-07-30,3.632634,3.639075,3.622228,3.639075,3.572068,8640170
2015-07-31,3.642048,3.642048,3.637093,3.641553,3.574501,16247176
2015-08-03,3.637093,3.637093,3.623714,3.626687,3.559908,580012
2015-08-04,3.614299,3.636598,3.606371,3.606371,3.539966,179913
2015-08-05,3.602407,3.622723,3.602407,3.602407,3.536075,139248
2015-08-06,3.602407,3.602903,3.597452,3.599930,3.533644,44196
2015-08-07,3.631643,3.656914,3.622228,3.622228,3.555531,3921763
2015-08-10,3.622228,3.637093,3.622228,3.622228,3.555531,20382
2015-08-11,3.623219,3.658400,3.623219,3.627183,3.560395,16263523
2015-08-12,3.646508,3.654436,3.632138,3.647004,3.579851,13309940
2015-08-13,3.656418,3.657409,3.656418,3.657409,3.590065,5047355
2015-08-14,3.647004,3.657409,3.642048,3.642048,3.574986,6441860
2015-08-17,3.655923,3.657905,3.655923,3.657905,3.590552,6055394
2015-08-18,3.655923,3.657905,3.632138,3.632138,3.565259,8172296
2015-08-19,3.627183,3.627183,3.627183,3.627183,3.560395,201
2015-08-20,3.632138,3.632138,3.632138,3.632138,3.565259,54993
2015-08-21,3.622723,3.622723,3.617273,3.617273,3.550668,191719
2015-08-24,3.617273,3.621732,3.587542,3.588037,3.521970,1024384
2015-08-25,3.605876,3.605876,3.587542,3.588037,3.521970,582523
2015-08-26,3.592992,3.617273,3.592497,3.592497,3.526348,11402
2015-08-27,3.593983,3.612317,3.593983,3.612317,3.545803,9082132
2015-08-28,3.628174,3.628174,3.592497,3.617273,3.550668,9083242
2015-08-31,3.611326,3.613804,3.610831,3.612813,3.546290,6760920
2015-09-01,3.612317,3.612813,3.597452,3.610831,3.544344,195997
2015-09-02,3.606867,3.607362,3.606867,3.607362,3.540939,29364
2015-09-03,3.617273,3.617273,3.617273,3.617273,3.550668,141468
2015-09-04,3.617273,3.619255,3.602407,3.619255,3.552613,2282868
2015-09-07,3.603398,3.603398,3.602407,3.602407,3.536075,27849
