Date,Open,High,Low,Close,Adj Close,Volume
2010-03-03,355.500000,365.000000,354.000000,364.000000,133.885422,806004
2010-03-04,360.489990,370.010010,359.089996,367.100006,135.025696,1749754
2010-03-05,370.010010,385.000000,369.019989,384.500000,141.425674,1656727
2010-03-09,388.000000,388.880005,370.200012,388.000000,142.713058,1904427
2010-03-10,387.000000,402.000000,378.059998,386.500000,142.161285,2260183
2010-03-11,385.470001,390.700012,372.299988,376.500000,138.483124,1982389
2010-03-12,380.000000,384.769989,376.299988,378.500000,139.218796,1408158
2010-03-15,374.089996,378.000000,368.450012,369.519989,135.915787,1142878
2010-03-16,371.000000,376.299988,369.010010,375.399994,138.078537,1204631
2010-03-17,380.000000,385.320007,378.510010,383.510010,141.061554,1028178
2010-03-18,382.000000,385.149994,373.010010,373.769989,137.478989,1100900
2010-03-19,375.010010,378.399994,369.609985,371.279999,136.563141,1061848
2010-03-22,369.279999,374.130005,360.690002,370.880005,136.416031,924651
2010-03-23,373.500000,381.000000,369.089996,375.809998,138.229370,2245945
2010-03-24,378.549988,386.809998,377.040009,378.700012,139.292313,1552768
2010-03-25,379.000000,385.929993,378.149994,385.700012,141.867081,1116445
2010-03-26,386.000000,395.179993,386.000000,389.549988,143.283157,1331107
2010-03-29,391.000000,398.940002,390.109985,398.799988,146.685486,881692
2010-03-30,399.000000,399.570007,393.000000,398.010010,146.394913,1013923
2010-03-31,397.000000,404.000000,393.649994,397.000000,146.023346,928297
2010-04-01,398.570007,422.410004,398.190002,420.000000,154.483185,1626807
2010-04-02,422.000000,435.220001,416.170013,423.880005,155.910294,1135280
2010-04-05,425.890015,429.799988,420.519989,423.000000,155.586655,622302
2010-04-06,423.000000,433.899994,416.000000,422.950012,155.568237,1183675
2010-04-07,422.950012,424.190002,412.230011,413.750000,152.184280,712075
2010-04-08,409.000000,416.440002,406.089996,414.500000,152.460190,903904
2010-04-09,417.000000,429.000000,417.000000,426.989990,157.054214,1076114
2010-04-12,430.000000,432.989990,418.779999,425.750000,156.598160,748632
2010-04-13,425.250000,425.950012,419.200012,420.500000,154.667145,1507735
2010-04-14,423.510010,428.390015,422.190002,422.500000,155.402740,551282
2010-04-15,425.500000,426.100006,414.339996,418.000000,153.747543,672392
2010-04-16,412.529999,418.899994,406.000000,406.010010,149.337433,765740
2010-04-19,400.000000,404.079987,384.140015,400.010010,147.130493,1428331
2010-04-20,404.000000,407.980011,393.410004,396.899994,145.986618,827180
2010-04-21,399.980011,402.119995,389.250000,391.519989,144.007736,610002
2010-04-22,386.000000,394.899994,380.000000,381.320007,140.256012,713763
2010-04-23,383.070007,387.989990,379.049988,387.890015,142.672562,701581
2010-04-26,391.510010,400.500000,390.000000,398.529999,146.586121,836368
2010-04-27,396.059998,398.000000,390.100006,396.100006,145.692352,823498
2010-04-28,385.130005,391.000000,383.109985,386.619995,142.205475,944584
2010-04-29,391.000000,394.809998,386.350006,393.950012,144.901596,543827
2010-04-30,394.000000,394.059998,389.540009,390.700012,143.706161,1085034
2010-05-04,390.700012,391.989990,372.500000,372.519989,137.019196,1089086
2010-05-05,370.859985,376.920013,353.079987,364.000000,133.885422,995962
2010-05-06,361.559998,368.000000,355.149994,364.540009,134.084045,502609
2010-05-07,350.559998,358.000000,333.000000,335.109985,123.259209,1522725
2010-05-11,352.000000,363.290009,348.799988,360.950012,132.763611,878794
2010-05-12,359.950012,383.709991,356.220001,377.489990,138.847305,1935904
2010-05-13,380.750000,390.000000,365.700012,370.600006,136.313065,698446
2010-05-14,367.899994,367.899994,354.000000,358.500000,131.862442,732616
