Date,Open,High,Low,Close,Adj Close,Volume
2010-03-03,0.319000,0.324000,0.316000,0.319000,0.202242,6010095
2010-03-04,0.319000,0.320000,0.314000,0.316000,0.200340,6237477
2010-03-05,0.318000,0.321000,0.315000,0.317000,0.200974,5788160
2010-03-09,0.319000,0.321000,0.309000,0.317000,0.200974,6101971
2010-03-10,0.316000,0.319000,0.313000,0.317000,0.200974,4569658
2010-03-11,0.316000,0.329000,0.315000,0.320000,0.202876,15225628
2010-03-12,0.323000,0.328000,0.320000,0.322000,0.204144,8290794
2010-03-15,0.320000,0.328000,0.320000,0.323000,0.204778,5393232
2010-03-16,0.324000,0.329000,0.323000,0.328000,0.207948,6669591
2010-03-17,0.331000,0.351000,0.330000,0.346000,0.219359,12428984
2010-03-18,0.345000,0.353000,0.338000,0.340000,0.215555,15140624
2010-03-19,0.342000,0.349000,0.334000,0.338000,0.214287,8988673
2010-03-22,0.335000,0.347000,0.330000,0.345000,0.218725,7701887
2010-03-23,0.349000,0.350000,0.344000,0.349000,0.221261,12415198
2010-03-24,0.350000,0.357000,0.345000,0.352000,0.223163,9284667
2010-03-25,0.350000,0.357000,0.349000,0.357000,0.226333,7827958
2010-03-26,0.358000,0.366000,0.355000,0.365000,0.231405,6044952
2010-03-29,0.365000,0.375000,0.363000,0.375000,0.237745,5434765
2010-03-30,0.376000,0.379000,0.366000,0.371000,0.235209,5996178
2010-03-31,0.367000,0.379000,0.367000,0.372000,0.235843,7036343
2010-04-01,0.375000,0.379000,0.372000,0.376000,0.238379,6676351
2010-04-02,0.378000,0.378000,0.371000,0.375000,0.237745,3611386
2010-04-05,0.376000,0.377000,0.370000,0.373000,0.236477,3034986
2010-04-06,0.373000,0.374000,0.362000,0.370000,0.234575,6660667
2010-04-07,0.370000,0.372000,0.362000,0.367000,0.232673,7171320
2010-04-08,0.363000,0.374000,0.361000,0.369000,0.233941,6107769
2010-04-09,0.371000,0.375000,0.369000,0.374000,0.237111,3875099
2010-04-12,0.376000,0.389000,0.375000,0.384000,0.243451,9152586
2010-04-13,0.383000,0.388000,0.373000,0.377000,0.239013,16964780
2010-04-14,0.380000,0.382000,0.367000,0.369000,0.233941,10705667
2010-04-15,0.371000,0.371000,0.362000,0.367000,0.232673,8405065
2010-04-16,0.365000,0.369000,0.362000,0.366000,0.232039,5188503
2010-04-19,0.360000,0.360000,0.350000,0.356000,0.225699,8195984
2010-04-20,0.358000,0.372000,0.357000,0.369000,0.233941,4792449
2010-04-21,0.371000,0.373000,0.365000,0.372000,0.235843,3673820
2010-04-22,0.370000,0.372000,0.358000,0.365000,0.231405,9778023
2010-04-23,0.366000,0.371000,0.363000,0.370000,0.234575,4334730
2010-04-26,0.373000,0.377000,0.369000,0.371000,0.235209,2185054
2010-04-27,0.368000,0.369000,0.360000,0.364000,0.230771,4790150
2010-04-28,0.353000,0.366000,0.352000,0.357000,0.226333,7710233
2010-04-29,0.360000,0.367000,0.359000,0.366000,0.232039,2531485
2010-04-30,0.368000,0.370000,0.362000,0.366000,0.232039,3498935
2010-05-04,0.367000,0.369000,0.359000,0.362000,0.229503,3664395
2010-05-05,0.360000,0.369000,0.355000,0.365000,0.231405,5533987
2010-05-06,0.365000,0.365000,0.352000,0.355000,0.225065,4893157
2010-05-07,0.341000,0.349000,0.314000,0.319000,0.202242,10188782
2010-05-11,0.332000,0.334000,0.311000,0.315000,0.199706,9227357
2010-05-12,0.315000,0.335000,0.311000,0.334000,0.211751,17148612
2010-05-13,0.337000,0.343000,0.324000,0.330000,0.209216,6460286
2010-05-14,0.326000,0.331000,0.323000,0.326000,0.206680,5202252
2010-05-17,0.320000,0.335000,0.317000,0.335000,0.212386,4798909
2010-05-18,0.336000,0.341000,0.333000,0.340000,0.215555,2099229
2010-05-19,0.334000,0.337000,0.325000,0.330000,0.209216,4059042
2010-05-20,0.330000,0.334000,0.316000,0.320000,0.202876,6469839
2010-05-21,0.322000,0.324000,0.308000,0.314000,0.199072,4967796
2010-05-24,0.318000,0.324000,0.314000,0.317000,0.200974,4131950
2010-05-25,0.303000,0.309000,0.289000,0.291000,0.184490,9435446
2010-05-26,0.299000,0.337000,0.294000,0.332000,0.210484,8102867
2010-05-27,0.328000,0.335000,0.325000,0.328000,0.207948,6787634
2010-05-28,0.330000,0.350000,0.327000,0.350000,0.221895,3957441
2010-05-31,0.345000,0.357000,0.340000,0.342000,0.216823,5286960
2010-06-01,0.340000,0.347000,0.332000,0.340000,0.215555,6671956
2010-06-02,0.336000,0.348000,0.333000,0.347000,0.219993,4534232
2010-06-03,0.351000,0.357000,0.328000,0.336000,0.213019,7687317
2010-06-04,0.336000,0.337000,0.314000,0.321000,0.203510,9751676
2010-06-07,0.310000,0.316000,0.305000,0.310000,0.196536,5055916
2010-06-08,0.314000,0.320000,0.300000,0.303000,0.192098,6282105
2010-06-09,0.306000,0.311000,0.303000,0.305000,0.193366,4263669
2010-06-10,0.307000,0.315000,0.298000,0.312000,0.197804,7013987
2010-06-11,0.314000,0.315000,0.303000,0.307000,0.194634,4741038
2010-06-15,0.309000,0.327000,0.305000,0.324000,0.205412,7369339
2010-06-16,0.326000,0.332000,0.321000,0.323000,0.204778,6765977
2010-06-17,0.321000,0.327000,0.318000,0.320000,0.202876,4454267
2010-06-18,0.321000,0.340000,0.315000,0.334000,0.211751,8771784
2010-06-21,0.339000,0.349000,0.335000,0.347000,0.219993,7515161
2010-06-22,0.342000,0.353000,0.339000,0.351000,0.222529,6868904
2010-06-23,0.346000,0.357000,0.345000,0.351000,0.222529,4618769
2010-06-24,0.351000,0.353000,0.333000,0.334000,0.211751,5259493
2010-06-25,0.333000,0.334000,0.323000,0.328000,0.207948,5157331
2010-06-28,0.328000,0.347000,0.326000,0.347000,0.219993,5151841
2010-06-29,0.340000,0.343000,0.325000,0.328000,0.207948,4724365
2010-06-30,0.329000,0.345000,0.328000,0.343000,0.217457,7099837
2010-07-01,0.336000,0.341000,0.331000,0.332000,0.210484,4699399
2010-07-02,0.335000,0.347000,0.335000,0.343000,0.217457,3865675
