Date,Open,High,Low,Close,Adj Close,Volume
2010-03-03,1.281000,1.328000,1.279000,1.313000,0.920786,3391911
2010-03-04,1.300000,1.329000,1.292000,1.318000,0.924293,2422140
2010-03-05,1.330000,1.332000,1.298000,1.330000,0.932708,2490786
2010-03-09,1.341000,1.357000,1.333000,1.349000,0.946033,2492220
2010-03-10,1.350000,1.374000,1.341000,1.372000,0.962162,2848872
2010-03-11,1.371000,1.407000,1.365000,1.370000,0.960759,3991658
2010-03-12,1.385000,1.444000,1.381000,1.435000,1.006343,4101197
2010-03-15,1.420000,1.495000,1.420000,1.480000,1.037901,5278207
2010-03-16,1.499000,1.510000,1.463000,1.464000,1.026680,3632573
2010-03-17,1.477000,1.485000,1.441000,1.450000,1.016862,3552047
2010-03-18,1.446000,1.476000,1.424000,1.460000,1.023875,4275766
2010-03-19,1.465000,1.482000,1.435000,1.442000,1.011252,3236680
2010-03-22,1.440000,1.473000,1.428000,1.462000,1.025278,2786318
2010-03-23,1.470000,1.470000,1.443000,1.446000,1.014057,6132668
2010-03-24,1.452000,1.464000,1.444000,1.453000,1.018966,3205942
2010-03-25,1.451000,1.476000,1.445000,1.465000,1.027381,2420174
2010-03-26,1.465000,1.486000,1.460000,1.476000,1.035096,2560892
2010-03-29,1.470000,1.533000,1.468000,1.501000,1.052628,2719096
2010-03-30,1.505000,1.526000,1.482000,1.522000,1.067355,2289696
2010-03-31,1.520000,1.577000,1.515000,1.555000,1.090497,3296444
2010-04-01,1.560000,1.690000,1.556000,1.678000,1.176755,6439011
2010-04-02,1.694000,1.699000,1.623000,1.639000,1.149405,4010643
2010-04-05,1.650000,1.679000,1.628000,1.663000,1.166236,2764180
2010-04-06,1.663000,1.675000,1.575000,1.640000,1.150106,3214696
2010-04-07,1.633000,1.644000,1.567000,1.596000,1.119250,4058318
2010-04-08,1.580000,1.644000,1.566000,1.642000,1.151509,4422149
2010-04-09,1.657000,1.746000,1.650000,1.739000,1.219533,6254463
