Date,Open,High,Low,Close,Adj Close,Volume
2010-03-03,30.551001,30.551001,29.502001,29.952000,16.462950,11219
2010-03-04,29.900000,30.295000,29.504000,30.000000,16.489334,5828
2010-03-05,30.297001,30.297001,29.761999,29.961000,16.467896,4753
2010-03-09,30.000000,30.049999,29.350000,29.590000,16.263977,4364
2010-03-10,28.850000,29.980000,28.850000,29.586000,16.261780,9817
2010-03-11,29.499001,29.900000,29.200001,29.472000,16.199120,10616
2010-03-12,29.350000,29.809000,29.350000,29.417000,16.168890,16929
2010-03-15,29.400000,29.500000,29.200001,29.493000,16.210665,4499
2010-03-16,29.590000,29.747000,29.370001,29.700001,16.324436,8497
2010-03-17,29.900000,30.499001,29.801001,30.125000,16.558041,31968
2010-03-18,30.113001,30.287001,29.709999,29.782000,16.369511,6112
2010-03-19,29.782000,30.191999,28.811001,29.223000,16.062256,5671
2010-03-22,29.010000,29.358000,28.479000,29.013000,15.946835,8048
2010-03-23,29.198000,29.357000,28.945999,29.080000,15.983660,13230
2010-03-24,29.155001,29.389000,28.000000,28.099001,15.444455,21527
2010-03-25,28.100000,28.500000,27.855000,28.100000,15.445009,34915
2010-03-26,28.200001,28.740000,28.101000,28.497999,15.663766,17202
2010-03-29,28.499001,28.820000,28.402000,28.538000,15.685755,8260
2010-03-30,28.600000,28.879999,28.030001,28.450001,15.637384,9708
2010-03-31,28.410000,28.549999,27.611000,27.750999,15.253181,37388
2010-04-01,27.889999,28.659000,27.790001,28.570999,15.703889,18483
2010-04-02,28.606001,29.719999,28.606001,29.709999,16.329931,26254
2010-04-05,29.600000,29.850000,29.000000,29.400000,16.363329,18052
2010-04-06,29.495001,30.198000,29.113001,29.749001,16.557573,27869
2010-04-07,29.825001,30.320000,29.209999,30.139000,16.774641,15086
2010-04-08,29.600000,30.889999,29.600000,30.719999,17.098011,24529
2010-04-09,30.728001,32.150002,30.716999,31.549999,17.559967,35702
2010-04-12,31.650000,32.589001,31.020000,31.275999,17.407467,13402
2010-04-13,31.075001,32.333000,30.302000,30.746000,17.112484,23774
2010-04-14,31.304001,32.189999,30.840000,32.118000,17.876104,22504
2010-04-15,32.233002,33.000000,31.657000,32.499001,18.088163,22331
2010-04-16,32.195000,32.200001,30.500000,30.549999,17.003393,32756
2010-04-19,30.000000,30.799999,29.011000,30.212999,16.815828,25850
2010-04-20,30.260000,31.250000,30.260000,30.698999,17.086323,13027
2010-04-21,30.997999,31.434999,30.025000,30.351000,16.892632,13323
2010-04-22,30.209999,30.830000,29.900999,30.389000,16.913782,9541
2010-04-23,30.399000,31.350000,30.399000,31.350000,17.448650,11093
2010-04-26,31.500000,32.148998,31.500000,31.745001,17.668501,9926
2010-04-27,31.606001,31.709999,30.822001,31.709999,17.649021,6272
2010-04-28,31.000000,31.499001,30.500999,31.499001,17.531584,8238
