Date,Open,High,Low,Close,Adj Close,Volume
2010-03-03,145.750000,149.240005,145.610001,146.100006,115.068481,403602
2010-03-04,141.899994,146.100006,141.899994,143.509995,113.028595,327148
2010-03-05,145.500000,147.000000,143.149994,146.179993,115.131500,221093
2010-03-09,147.000000,147.000000,144.199997,145.990005,114.981857,138304
2010-03-10,145.990005,148.279999,142.699997,144.610001,113.894974,493863
2010-03-11,140.210007,144.869995,140.210007,143.479996,113.004974,145280
2010-03-12,144.160004,152.770004,143.750000,148.000000,116.564934,1000537
2010-03-15,147.500000,149.000000,146.000000,147.979996,116.549171,312493
2010-03-16,148.279999,149.970001,147.160004,149.600006,117.825089,218099
2010-03-17,149.889999,153.699997,149.889999,151.710007,119.486938,596065
2010-03-18,152.000000,157.000000,150.500000,154.000000,121.290527,631998
2010-03-19,154.399994,156.500000,152.210007,155.059998,122.125381,462991
2010-03-22,155.229996,163.300003,153.539993,160.899994,126.724968,591384
2010-03-23,162.000000,164.000000,158.500000,159.869995,125.913757,1040498
2010-03-24,162.000000,162.500000,156.320007,156.889999,123.566689,461629
2010-03-25,156.179993,158.740005,154.600006,155.740005,122.660973,353978
2010-03-26,151.649994,157.500000,151.649994,154.110001,121.377182,265500
2010-03-29,151.279999,155.600006,151.279999,154.250000,121.487434,396507
2010-03-30,155.000000,160.500000,154.300003,157.000000,123.653351,741761
2010-03-31,155.820007,159.000000,155.720001,159.000000,125.228546,272432
2010-04-01,159.000000,160.990005,154.910004,156.589996,123.330406,622880
2010-04-02,155.029999,155.500000,152.100006,153.889999,121.203888,524226
2010-04-05,153.500000,153.699997,151.149994,152.500000,120.109123,390053
2010-04-06,152.500000,157.000000,151.149994,155.059998,122.125381,588942
2010-04-07,155.179993,158.500000,153.199997,157.250000,123.850235,446256
2010-04-08,156.500000,157.500000,154.000000,155.949997,122.826363,287640
2010-04-09,157.000000,161.990005,156.509995,157.500000,124.047142,582845
2010-04-12,161.839996,161.839996,157.600006,158.089996,124.511826,228158
2010-04-13,158.500000,171.500000,156.009995,168.000000,132.316940,1822121
2010-04-14,170.000000,176.960007,169.000000,170.000000,133.892136,1043487
2010-04-15,170.380005,172.479996,163.500000,165.800003,130.584244,561238
2010-04-16,164.889999,164.889999,160.199997,160.199997,126.173645,398885
2010-04-19,157.979996,158.949997,152.009995,157.000000,123.653351,557216
2010-04-20,157.149994,162.679993,157.149994,160.100006,126.094910,336779
2010-04-21,162.000000,164.000000,157.770004,158.490005,124.826874,223284
2010-04-22,158.000000,165.789993,155.500000,159.789993,125.850731,822348
2010-04-23,161.000000,163.490005,157.199997,162.000000,127.591347,304215
2010-04-26,164.500000,165.300003,162.809998,163.399994,128.693970,321610
2010-04-27,162.470001,162.880005,158.580002,161.380005,127.103043,205001
2010-04-28,158.320007,158.500000,154.740005,156.550003,123.298912,394420
2010-04-29,157.000000,158.509995,155.839996,156.339996,123.133514,274645
2010-04-30,156.990005,157.339996,155.139999,155.789993,122.700348,121562
2010-05-04,154.940002,157.000000,150.000000,150.000000,118.140129,445162
2010-05-05,148.000000,149.179993,145.000000,146.550003,115.422920,279452
2010-05-06,146.500000,148.000000,144.009995,147.169998,115.911232,204763
