Date,Open,High,Low,Close,Adj Close,Volume
2011-11-21,2.326000,2.327000,2.250000,2.250000,0.924367,7203000
2011-11-22,2.285000,2.369000,2.220000,2.260000,0.928476,16036000
2011-11-23,2.270000,2.338000,2.250000,2.295000,0.942854,8398000
2011-11-24,2.294000,2.320000,2.270000,2.270000,0.932584,27830000
2011-11-25,2.298000,2.300000,2.225000,2.265000,0.930530,9501000
2011-11-28,2.300000,2.400000,2.292000,2.318000,0.952304,20964000
2011-11-29,2.350000,2.350000,2.310000,2.313000,0.950249,9970000
2011-11-30,2.326000,2.395000,2.282000,2.395000,0.983938,19171000
2011-12-01,2.410000,2.499000,2.353000,2.460000,1.010641,44380000
2011-12-02,2.451000,2.538000,2.432000,2.538000,1.042686,11710000
2011-12-05,2.470000,2.545000,2.451000,2.545000,1.045562,6807000
2011-12-06,2.476000,2.485000,2.381000,2.485000,1.020912,14679000
2011-12-07,2.434000,2.450000,2.408000,2.440000,1.002425,1766000
2011-12-08,2.427000,2.480000,2.405000,2.442000,1.003246,13259000
2011-12-09,2.352000,2.399000,2.305000,2.385000,0.979829,13694000
2011-12-12,2.409000,2.443000,2.165000,2.220000,0.912042,16505000
2011-12-13,2.272000,2.280000,2.173000,2.230000,0.916151,16648000
2011-12-14,2.200000,2.230000,2.100000,2.100000,0.862743,18376000
2011-12-15,2.137000,2.245000,2.120000,2.120000,0.870959,13498000
2011-12-16,2.199000,2.227000,2.122000,2.200000,0.903826,18920000
2011-12-19,2.195000,2.200000,2.173000,2.200000,0.903826,2487000
2011-12-20,2.195000,2.230000,2.171000,2.211000,0.908345,9786000
2011-12-21,2.185000,2.215000,2.111000,2.215000,0.909988,21169000
2011-12-22,2.185000,2.220000,2.151000,2.170000,0.891501,10105000
2011-12-23,2.180000,2.230000,2.112000,2.230000,0.916151,9214000
2011-12-26,2.163000,2.200000,2.163000,2.179000,0.895198,12177000
2011-12-27,2.220000,2.235000,2.184000,2.230000,0.916151,12462000
2011-12-28,2.214000,2.229000,2.160000,2.165000,0.889447,4015000
2011-12-29,2.120000,2.150000,2.113000,2.146000,0.881641,12721000
2011-12-30,2.120000,2.150000,2.120000,2.150000,0.883284,4153000
2012-01-03,2.150000,2.150000,2.150000,2.150000,0.883284,0
2012-01-04,2.150000,2.150000,2.150000,2.150000,0.883284,0
2012-01-05,2.150000,2.150000,2.150000,2.150000,0.883284,0
2012-01-06,2.150000,2.150000,2.150000,2.150000,0.883284,0
2012-01-10,2.279000,2.330000,2.275000,2.295000,0.942854,20130000
